,Voltage,Raw
226,0.17300000000000001,8872af
227,0.172,88b438
228,0.171,8978d3
229,0.17,89374a
230,0.16899999999999998,89374a
231,0.168,89ba5d
232,0.16699999999999998,8a7ef8
233,0.166,89fbe6
234,0.165,8a7ef8
235,0.16399999999999998,8b020b
236,0.163,8ac081
237,0.162,8b020b
238,0.161,8c0830
239,0.16,8bc6a6
240,0.159,8c0830
241,0.158,8c49b9
242,0.157,8ccccb
243,0.156,8c49b9
244,0.155,8ccccb
245,0.154,8d9167
246,0.153,8d9167
247,0.152,8d9167
248,0.151,8e978c
249,0.15,8e1479
250,0.149,8e5602
251,0.14800000000000002,8ed915
252,0.147,8f1a9e
253,0.146,8ed915
254,0.145,8f1a9e
255,0.14400000000000002,8fdf3a
256,0.14300000000000002,8f9db1
257,0.142,8f9db1
258,0.141,90e55f
259,0.14,90a3d5
260,0.139,90a3d5
261,0.138,9126e8
262,0.13699999999999998,916871
263,0.136,9126e8
264,0.135,91a9fa
265,0.134,922d0d
266,0.133,91eb83
267,0.132,91eb83
268,0.131,92f1a8
269,0.13,92b01f
270,0.129,92b01f
271,0.128,933332
272,0.127,93b644
273,0.126,933332
274,0.125,93b644
275,0.124,943956
276,0.12300000000000001,93f7cd
277,0.122,943956
278,0.121,94fdf2
279,0.12,94bc69
280,0.11900000000000001,94fdf2
281,0.11800000000000001,953f7b
282,0.11699999999999999,95c28e
283,0.11599999999999999,953f7b
284,0.115,95c28e
285,0.114,9645a0
286,0.113,960417
287,0.11199999999999999,960417
288,0.111,970a3c
289,0.11,968729
290,0.109,96c8b3
291,0.10800000000000001,970a3c
292,0.107,978d4e
293,0.106,970a3c
294,0.105,974bc5
295,0.10400000000000001,981061
296,0.10300000000000001,97ced7
297,0.102,981061
298,0.10099999999999999,98d4fc
299,0.1,845a1b
300,0.10099999999999999,428f5b
301,0.102,126809
302,0.10300000000000001,f28f5d
303,0.10400000000000001,dced92
304,0.105,ce5605
305,0.106,c49ba7
306,0.107,bcac09
307,0.10800000000000001,b6c8b5
308,0.109,b33334
309,0.11,af1aa1
310,0.111,ac0832
311,0.11199999999999999,a9ba5f
312,0.113,a7ef9f
313,0.114,a56043
314,0.115,a3d70b
315,0.11599999999999999,a24dd4
316,0.11699999999999999,a10626
317,0.11800000000000001,9f7cef
318,0.11900000000000001,9ef9dc
319,0.12,9db22e
320,0.121,9c28f7
321,0.122,9ba5e5
322,0.12300000000000001,9ae149
323,0.124,995812
324,0.125,98d4ff
325,0.126,9851ed
326,0.127,970a3f
327,0.128,9645a3
328,0.129,9645a3
329,0.13,953f7e
330,0.131,947ae3
331,0.132,93f7d0
332,0.133,93b647
333,0.134,926e99
334,0.135,922d10
335,0.136,91eb86
336,0.13699999999999998,9126eb
337,0.138,90624f
338,0.139,90a3d8
339,0.14,8fdf3d
340,0.141,8f1aa1
341,0.142,8ed918
342,0.14300000000000002,8ed918
343,0.14400000000000002,8dd2f3
344,0.145,8d916a
345,0.146,8d916a
346,0.147,8cccce
347,0.14800000000000002,8c0833
348,0.149,8cccce
349,0.15,8c0833
350,0.151,8b8520
351,0.152,8b8520
352,0.153,8b4397
353,0.154,89fbe9
354,0.155,8a3d72
355,0.156,8a3d72
356,0.157,89ba60
357,0.158,89374d
358,0.159,89ba60
359,0.16,89374d
360,0.161,8872b2
361,0.162,88b43b
362,0.163,88b43b
363,0.16399999999999998,87ae16
364,0.165,87ef9f
365,0.166,87ef9f
366,0.16699999999999998,872b03
367,0.168,86e97a
368,0.16899999999999998,876c8d
369,0.17,86e97a
370,0.171,86a7f1
371,0.172,866668
372,0.17300000000000001,86a7f1
373,0.174,85a1cc
374,0.175,85e355
375,0.17600000000000002,8624df
376,0.177,856043
377,0.17800000000000002,851eba
378,0.179,85e355
379,0.18,851eba
380,0.18100000000000002,851eba
381,0.182,851eba
382,0.183,851eba
383,0.184,845a1e
384,0.185,845a1e
385,0.18600000000000003,84dd31
386,0.187,845a1e
387,0.188,83d70c
388,0.18899999999999997,84dd31
389,0.19,841895
390,0.191,83d70c
391,0.192,83d70c
392,0.193,841895
393,0.19399999999999998,8353f9
394,0.195,839582
395,0.196,83d70c
396,0.19699999999999998,839582
397,0.198,831270
398,0.19899999999999998,83d70c
399,0.2,8353f9
400,0.201,831270
401,0.20199999999999999,8353f9
402,0.203,839582
403,0.204,82d0e7
404,0.205,82d0e7
405,0.20600000000000002,831270
406,0.207,82d0e7
407,0.20800000000000002,82d0e7
408,0.209,8353f9
409,0.21,831270
410,0.21100000000000002,82d0e7
411,0.212,831270
412,0.213,839582
413,0.214,828f5e
414,0.215,82d0e7
415,0.21600000000000003,8353f9
416,0.217,82d0e7
417,0.218,828f5e
418,0.21899999999999997,839582
419,0.22,831270
420,0.221,831270
421,0.222,831270
422,0.223,8353f9
423,0.22399999999999998,82d0e7
424,0.225,82d0e7
425,0.226,8353f9
426,0.22699999999999998,831270
427,0.228,82d0e7
428,0.22899999999999998,83d70c
429,0.23,831270
430,0.231,831270
431,0.23199999999999998,8353f9
432,0.233,839582
433,0.23399999999999999,82d0e7
434,0.235,8353f9
435,0.23600000000000002,839582
436,0.237,8353f9
437,0.23800000000000002,831270
438,0.239,83d70c
439,0.24,839582
440,0.24100000000000002,8353f9
441,0.242,83d70c
442,0.243,83d70c
443,0.244,831270
444,0.245,839582
445,0.24600000000000002,841895
446,0.247,839582
447,0.248,839582
448,0.249,845a1e
449,0.25,83d70c
450,0.251,83d70c
451,0.252,841895
452,0.253,845a1e
453,0.254,839582
454,0.255,841895
455,0.256,845a1e
456,0.257,83d70c
457,0.258,83d70c
458,0.259,84dd31
459,0.26,845a1e
460,0.261,845a1e
461,0.262,849ba7
462,0.263,84dd31
463,0.264,845a1e
464,0.265,849ba7
465,0.266,851eba
466,0.267,849ba7
467,0.268,845a1e
468,0.26899999999999996,851eba
469,0.27,84dd31
470,0.271,84dd31
471,0.272,851eba
472,0.273,856043
473,0.27399999999999997,84dd31
474,0.275,851eba
475,0.276,856043
476,0.27699999999999997,856043
477,0.278,851eba
478,0.27899999999999997,85e355
479,0.28,85a1cc
480,0.281,856043
481,0.282,85e355
482,0.28300000000000003,8624df
483,0.284,856043
484,0.285,85e355
485,0.28600000000000003,8624df
486,0.287,85e355
487,0.28800000000000003,85e355
488,0.289,86a7f1
489,0.29,866668
490,0.29100000000000004,866668
491,0.292,86a7f1
492,0.293,872b03
493,0.294,8624df
494,0.295,866668
495,0.29600000000000004,872b03
496,0.297,86a7f1
497,0.298,86a7f1
498,0.299,87ae16
499,0.3,9be76e
500,0.299,dba5e4
501,0.298,085f06
502,0.297,245a1c
503,0.29600000000000004,353f7c
504,0.295,4147ad
505,0.294,49ba5d
506,0.293,4f1a9f
507,0.292,52f1a9
508,0.29100000000000004,56872a
509,0.29,58d4fd
510,0.289,5a9fbd
511,0.28800000000000003,5c6a7e
512,0.287,5e353e
513,0.28600000000000003,5eb851
514,0.285,604188
515,0.284,618936
516,0.28300000000000003,620c48
517,0.282,62d0e4
518,0.281,645a1b
519,0.28,64dd2e
520,0.27899999999999997,656040
521,0.278,6624dc
522,0.27699999999999997,66e978
523,0.276,66e978
524,0.275,67ef9c
525,0.27399999999999997,68f5c1
526,0.273,68f5c1
527,0.272,69374a
528,0.271,6ac082
529,0.27,6ac082
530,0.26899999999999996,6b4394
531,0.268,6bc6a7
532,0.267,6c8b42
533,0.266,6c49b9
534,0.265,6ccccb
535,0.264,6d9167
536,0.263,6dd2f0
537,0.262,6dd2f0
538,0.261,6f1a9e
539,0.26,6f1a9e
540,0.259,6f1a9e
541,0.258,6fdf3a
542,0.257,70624c
543,0.256,7020c3
544,0.255,70e55f
545,0.254,716871
546,0.253,716871
547,0.252,716871
548,0.251,726e96
549,0.25,726e96
550,0.249,726e96
551,0.248,72f1a9
552,0.247,73b644
553,0.24600000000000002,733332
554,0.245,73b644
555,0.244,747ae0
