Voltage,Current
0.228,4.789999698400461e-06
0.227,4.809999443292551e-06
0.226,4.799999570846507e-06
0.225,4.809999443292551e-06
0.224,4.839999656677205e-06
0.223,4.839999656677205e-06
0.222,4.829999784231161e-06
0.221,4.879999742507904e-06
0.22,4.869999870061859e-06
0.219,4.869999870061859e-06
0.218,4.8999994873999936e-06
0.217,4.919999828338602e-06
0.21600000000000005,4.8999994873999936e-06
0.215,4.919999828338602e-06
0.214,4.939999573230693e-06
0.213,4.939999573230693e-06
0.212,4.939999573230693e-06
0.211,4.9799996590613916e-06
0.21,4.9799996590613916e-06
0.209,4.969999786615346e-06
0.208,4.989999531507436e-06
0.207,-4.980001447200948e-06
0.206,4.989999531507436e-06
0.205,-4.970001574754903e-06
0.204,-4.940001361370249e-06
0.203,-4.960001702308857e-06
0.202,-4.950001233816294e-06
0.201,-4.920001616478159e-06
0.2,-4.930001488924204e-06
0.199,-4.920001616478159e-06
0.198,-4.9100017440321135e-06
0.197,-4.8900014030935055e-06
0.196,-4.9100017440321135e-06
0.195,-4.8900014030935055e-06
0.194,-4.8600017857553705e-06
0.193,-4.870001658201416e-06
0.192,-4.8600017857553705e-06
0.191,-4.8100012314321075e-06
0.19,-4.830001572370717e-06
0.189,-4.820001699924672e-06
0.188,-4.8100012314321075e-06
0.187,-4.790001486540018e-06
0.18600000000000005,-4.800001358986063e-06
0.185,-4.790001486540018e-06
0.184,-4.770001741647928e-06
0.183,-4.760001273155364e-06
0.182,-4.770001741647928e-06
0.181,-4.7300016558172295e-06
0.18,-4.7300016558172295e-06
0.179,-4.7300016558172295e-06
0.17800000000000002,-4.71000131487862e-06
0.177,-4.690001569986531e-06
0.17600000000000002,-4.71000131487862e-06
0.175,-4.690001569986531e-06
0.174,-4.670001229047922e-06
0.173,-4.670001229047922e-06
0.172,-4.660001356601877e-06
0.171,-4.630001739263742e-06
0.17,-4.640001611709787e-06
0.16899999999999998,-4.640001611709787e-06
0.168,-4.620001270771178e-06
0.16699999999999998,-4.590001653433043e-06
0.166,-4.610001398325134e-06
0.165,-4.590001653433043e-06
0.16399999999999998,-4.570001312494434e-06
0.163,-4.580001780986999e-06
0.162,-4.570001312494434e-06
0.161,-4.530001226663736e-06
0.16,-4.540001695156299e-06
0.159,-4.530001226663736e-06
